                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.6925,                 1.9645,                0.81687,                 0.8779,                0.82338,                0.74221,                0.79216,                0.32792,                0.66666,                0.59701,                0.60452,                0.19409,                 1.9837,                 2.4704,                 1.0635,                0.98546,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.6463,                 1.9411,                0.79991,                0.88092,                0.81381,                0.72388,                0.78742,                0.30649,                0.65409,                0.58209,                 0.6088,                0.18269,                 2.0764,                 2.5831,                 1.1082,                 1.0004,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.6483,                 1.9485,                0.78819,                0.88222,                0.79421,                0.72964,                0.77971,                 0.3002,                0.65382,                0.60697,                0.58322,                0.16547,                 2.0234,                 2.6072,                 1.0839,                0.98792,               0.000614,               0.000614,               0.000614
                     73,                  1.657,                 1.9926,                0.77945,                 0.8943,                  0.797,                0.78607,                0.80366,                0.32827,                0.68203,                0.65097,                0.64105,                0.20114,                 1.9973,                 2.5008,                 1.0375,                0.98411,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.6256,                 1.9255,                0.78797,                0.89036,                 0.8451,                0.72388,                0.81726,                0.33033,                0.61643,                 0.6194,                0.59615,                0.18894,                 1.9641,                  2.512,                 1.0869,                0.98213,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.6417,                 1.9516,                0.78407,                0.88591,                 0.8168,                0.72388,                0.79145,                0.31989,                 0.6647,                0.60448,                0.60651,                0.19557,                  1.983,                 2.5285,                 1.1143,                0.97939,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.6558,                 1.9549,                0.77416,                0.88201,                0.86148,                0.75871,                 0.8302,                0.33035,                 0.7176,                 0.6194,                0.64285,                 0.2022,                 1.9861,                  2.497,                 1.0523,                0.98171,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.6269,                 1.9631,                0.77104,                0.87256,                0.81697,                0.72175,                0.80121,                0.32649,                0.74438,                0.58706,                0.64906,                0.20774,                 1.9846,                 2.6025,                 1.2177,                0.98312,               0.000515,               0.000515,               0.000515
                     78,                 1.5699,                 1.8803,                0.73835,                0.88528,                0.75995,                0.77176,                0.79939,                0.32426,                0.61732,                0.63184,                0.60113,                0.18087,                 2.0073,                 2.5568,                 1.0929,                0.98919,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.6265,                 1.9254,                0.75186,                0.87663,                0.80961,                0.75373,                0.79354,                0.32418,                0.67452,                0.63682,                0.62516,                0.19778,                 2.0071,                 2.5724,                 1.0948,                0.98992,              0.0004754,              0.0004754,              0.0004754
